zaban	lafz	aeraab	aap_ka_maani	un_ka_maani	faisla
عربی	آنا	أَنَا	to come, to arrive; to know	I (first person singular subject pronoun)	⚠ ٹکراؤ
عربی	ہل	هَلْ	plough	introduces a positive yes-no question	⚠ ٹکراؤ
عربی	حلال	حَلَال	halal; lawful, permissible; rightful	allowed, permitted, allowable, admissible, permissible.	ملتا ہے
عربی	جہاد	جِهَاد	jihad, holy war, crusade; fight, struggle, battle	verbal noun of جَاهَدَ (jāhada) (form III)	⚠ ٹکراؤ
عربی	حماس	حَمَاس	Hamas (a Palestinian Islamist militant group and political o	excitement; enthusiasm; zeal	⚠ ٹکراؤ
عربی	خلیفہ	خَلِيفَة	caliph; successor; the most gifted wrestler (after the teach	a successor	ملتا ہے
عربی	فاس	فَاس	Fez (the capital city of the region of Fez-Meknes, Morocco)	Fez (the capital city of the region of Fez-Meknes, Morocco)	ملتا ہے
عربی	مؤذن	مُؤَذِّن	muezzin (the person who issues the call to prayer from one o	muezzin (the person who issues the call to prayer from one o	ملتا ہے
عربی	ملا	مُلَّا	met; got; was found (m.)	mullah, mollah, mulla, moolah	⚠ ٹکراؤ
عربی	فلسطین	فِلَسْطِين	Palestine (the region in Western Asia in the Middle East bet	Palestine (a country in Western Asia, in the Middle East; th	ملتا ہے
عربی	شیخ	شَيْخ	elder; chief; scholar (title)	old man	⚠ ٹکراؤ
عربی	مزاج	مِزَاج	humor; temperament	mixture, medley, blend	⚠ ٹکراؤ
عربی	حسن	حَسُنَ	beauty	to be or become good, to better, to improve	⚠ ٹکراؤ
عربی	کلب	كَلْب	club; nightclub; dog	dog	ملتا ہے
عربی	شجرہ	شَجَرَة	shajra, family tree	tree	ملتا ہے
عربی	شمس	شَمْس	sun	sun	ملتا ہے
عربی	ایران	إِيرَان	Iran (a country in West Asia)	Iran (a country in West Asia)	ملتا ہے
عربی	مصر	مِصْر	Egypt (a country in North Africa and West Asia); cities sout	Egypt (a country in North Africa and West Asia)	ملتا ہے
عربی	اسرائیل	إِسْرَائِيل	Israel (a country in Asia)	Israel (the Hebrew patriarch Jacob)	ملتا ہے
عربی	الجزائر	الْجَزَائِر	Algeria (a country in North Africa)	Algeria (a country in North Africa)	ملتا ہے
عربی	تل ابیب	تَلّ أَبِيب	Tel Aviv (a city in central Israel); Tel Aviv (a district in	Tel Aviv (a city in Israel)	ملتا ہے
عربی	مسجد	مَسْجِد	mosque	mosque	ملتا ہے
عربی	حمار	حِمَار	male donkey, ass	ass, donkey	ملتا ہے
عربی	مسلم	مُسْلِم	one who submits to God	Muslim	⚠ ٹکراؤ
عربی	سلام	سَلَام	interjection used to greet or often fare adieu to someone.; 	verbal noun of سَلِمَ (salima) (form I), well-being	⚠ ٹکراؤ
عربی	سنت	سَنْت	tradition; habit; custom	cent	⚠ ٹکراؤ
عربی	عربی	عَرَبِيّ	Arabic	Arab	⚠ ٹکراؤ
عربی	نام	نَامَ	name	to sleep	⚠ ٹکراؤ
عربی	اسم	اِسْم	name, appellation, designation; noun; substantive; unequal	name	ملتا ہے
عربی	بیت المقدس	بَيْت الْمَقْدِس	Jerusalem (a city in Israel; a city in Palestine); Jerusalem	the Temple in Jerusalem	ملتا ہے
عربی	نسخ	نَسَخَ	abolition; annulment; recantation	to transcribe, to copy	⚠ ٹکراؤ
عربی	نستعلیق	نَسْتَعْلِيق	Nastaliq, Nastaleeq (style of calligraphy)	Nastaliq, Nastaleeq or Nastaʿlīq: A style of Persian calligr	ملتا ہے
عربی	موسیقی	مُوسِيقَى	music	music	ملتا ہے
عربی	عین	عَيْن	eye; spring, fountain, source, sight	eye (organ)	ملتا ہے
عربی	بنت	بِنْت	daughter	female equivalent of اِبْن (ibn, “son, descendant”):	⚠ ٹکراؤ
عربی	فارسی	فَارِسِيّ	Persian, Persic; Persianate; Persian (language); Hijra Farsi	a Persian	ملتا ہے
عربی	مترجم	مُتَرْجِم	translator; interpreter	translator; interpreter	ملتا ہے
عربی	واحد	وَاحِد	single	one	⚠ ٹکراؤ
عربی	اللہ	اللّٰه	Allah; God	God	ملتا ہے
عربی	نجار	نَجَّار	carpenter	carpenter	ملتا ہے
فارسی	اب	—	now	father	⚠ ٹکراؤ
فارسی	آیا	—	came (m.)	interrogative particle used to introduce yes-no questions	⚠ ٹکراؤ
فارسی	ہل	—	plough	push, shove	⚠ ٹکراؤ
فارسی	حلال	—	halal; lawful, permissible; rightful	halal	ملتا ہے
فارسی	جہاد	—	jihad, holy war, crusade; fight, struggle, battle	jihad, holy war, crusade	ملتا ہے
فارسی	حماس	—	Hamas (a Palestinian Islamist militant group and political o	Hamas (a Palestinian Islamist militant group and political o	ملتا ہے
