lafz	aeraab	zaban	maani_en
حلال	حَلَال	عربی	allowed, permitted, allowable, admissible, permissible.
جہاد	جِهَاد	عربی	struggle, effort
حماس	حَمَاس	عربی	Hamas (a Palestinian Islamist militant group and political organization)
خلیفہ	خَلِيفَة	عربی	a successor
فاس	فَاس	عربی	Fez (the capital city of the region of Fez-Meknes, Morocco)
مؤذن	مُؤَذِّن	عربی	muezzin (the person who issues the call to prayer from one of the minarets of a 
فلسطین	فِلَسْطِين	عربی	Palestine (a country in Western Asia, in the Middle East; the State of Palestine
کلب	كَلْب	عربی	dog
شجرہ	شَجَرَة	عربی	tree
شمس	شَمْس	عربی	sun
ایران	إِيرَان	عربی	Iran (a country in West Asia)
مصر	مِصْر	عربی	Egypt (a country in North Africa and West Asia)
اسرائیل	إِسْرَائِيل	عربی	Israel (a country in Asia)
الجزائر	الْجَزَائِر	عربی	Algeria (a country in North Africa)
تل ابیب	تَلّ أَبِيب	عربی	Tel Aviv (a city in Israel)
مسجد	مَسْجِد	عربی	mosque
حمار	حِمَار	عربی	ass, donkey
سلام	سَلَام	عربی	salutation; greeting
عربی	عَرَبِيّ	عربی	Arabic (language)
اسم	اِسْم	عربی	name
بیت المقدس	بَيْت الْمَقْدِس	عربی	the Temple in Jerusalem
نسخ	نَسْخ	عربی	abolition, abolishment, abrogation, cancellation, invalidation
نستعلیق	نَسْتَعْلِيق	عربی	Nastaliq, Nastaleeq or Nastaʿlīq: A style of Persian calligraphy or font, most c
موسیقی	مُوسِيقَى	عربی	music
عین	عَيْن	عربی	eye (organ)
فارسی	فَارِسِيّ	عربی	the Persian language
مترجم	مُتَرْجِم	عربی	translator; interpreter
واحد	وَاحِد	عربی	single
اللہ	اللّٰه	عربی	God
نجار	نَجَّار	عربی	carpenter
فیل	فِيل	عربی	elephant
ملکہ	مَلِكَة	عربی	queen
جمال	جَمَال	عربی	beauty
رمضان	رَمَضَان	عربی	Ramadan (the holy ninth month of the Islamic lunar calendar, during which Muslim
من	مَنّ	عربی	a historical unit of mass – translatable as mina or maund – varying usually betw
قاموس	قَامُوس	عربی	dictionary, lexicon
کتاب	كِتَاب	عربی	book
حرف	حَرْف	عربی	letter (of the alphabet), piece of type
معجم	مُعْجَم	عربی	dictionary
ترکیہ	تُرْكِيَّة	عربی	female equivalent of تُرْكِيّ (turkiyy, “Turk”):
قمر	قَمَر	عربی	moon
ولد	وَلَد	عربی	child (“son or daughter of any age”)
رجل	رَجُل	عربی	man (adult male human)
ارض	أَرْض	عربی	earth, land
ترجمہ	تَرْجَمَة	عربی	translation
یوم	يَوْم	عربی	day, period from sunrise to sunset
لسان	لِسَان	عربی	tongue
بالغ	بَالِغ	عربی	one who has reached puberty; pubescent, mature, of age, in one’s majority, adult
بحر	بَحْر	عربی	sea
جمیل	جَمِيل	عربی	beautiful
میکائیل	مِيكَائِيل	عربی	The archangel Michael.
قطر	قَطَر	عربی	Qatar (a country in West Asia in the Middle East)
ذکر	ذَكَرَ	عربی	to mention
بیت	بَيْت	عربی	verse, couplet, distich
صلی اللہ علیہ وسلم	صَلَّى اللهُ عَلَيْهِ وَ سَلَّمَ	عربی	God shower blessing and well-being upon him and grant him peace
حبیب	حَبِيب	عربی	beloved
آلہ	آلَة	عربی	instrument, utensil
شاہین	شَاهِين	عربی	Indian falcon, especially the peregrine falcon
عقاب	عِقَاب	عربی	punishment, infliction of punishment
موت	مَوْت	عربی	death
اشتقاق	اِشْتِقَاق	عربی	etymology, derivation
ترجمان	تُرْجُمَان	عربی	translator
ترکی	تُرْكِيّ	عربی	Turkish
ارتداد	اِرْتِدَاد	عربی	apostasy
موج	مَوَّجَ	عربی	to wave (the hair)
عید	عِيد	عربی	feast; holiday; festival
نظر	نَظَرَ	عربی	to look, to gaze, to glance
انجیل	إِنْجِيل	عربی	the Gospel, the evangel
صفر	صِفْر	عربی	zero
ربیع الاول	رَبِيع الْأَوَّل	عربی	Rabi I (the third month of the Islamic calendar and birth month of Muhammad)
ذو الحجہ	ذُو الْحِجَّة	عربی	Dhu'l-Hijja (the twelfth and final month of the Islamic calendar, during which t
اکتوبر	أُكْتُوبِر	عربی	October (tenth month of the Gregorian calendar)
ثانیہ	ثَانِيَة	عربی	second (unit of time)
دقیقہ	دَقِيقَة	عربی	minute (unit of time)
صحرا	صَحْرَاء	عربی	desert
نظام	نِظَام	عربی	system
ملک	مَلِك	عربی	king, sovereign, monarch
امل	أَمَل	عربی	hope, expectation
حکیم	حَكِيم	عربی	wise
سبب	سَبَّبَ	عربی	to cause, to effect, to trigger, to generate
امین	أَمِين	عربی	reliable, trustworthy, loyal, responsible
سیف	سَيْف	عربی	sword, sabre, foil, rapier, scimitar
عظم	عَظْم	عربی	bone
میزان	مِيزَان	عربی	balance
یہودی	يَهُودِيّ	عربی	Jewish
مختلف	مُخْتَلِف	عربی	different
