lafz	aeraab	qism	maani_en	kyun
رشد		noun	growth	platts
سلم		noun	Acacia ehrenbergiana	platts
اثنان		num	two	platts
ذهب		noun	synonym of طلا (talā /talâ, “gold”)	arbi
زوج	زُوج	noun	couple, pair	arbi
باغ وحش	باغِ وَحْش	noun	zoo	rishta:باغ
ایتالیایی		adj	Italian	platts
مرحبا		intj	bravo, good job	arbi
اجاق		noun	stove	platts
شاذ		adj	glad	platts
کتاب لغت		noun	dictionary, glossary	rishta:کتاب
باب		adj	appropriate	platts
بان		noun	prince, lord, governor, chief	platts
رأس		classifier	classifier for counting animals: head	platts
نار		noun	pomegranate	platts
زیتونی		adj	olivaceous	platts
اسلحه گرم	اَسْلَحِهٔ گَرْم	noun	firearm	rishta:اسلحہ
زیاد		adj	much; a lot	platts
چتر		noun	umbrella, parasol	platts
چطور		adv	how	platts
ظهر		noun	noon, midday	arbi
منخر		noun	nostril	platts
منت		noun	favor, grace; action that causes the receiver to be thankful	platts
نهار		noun	daytime	platts
مجاهد		noun	fighter, warrior; especially a mujahid	arbi
طالب		noun	seeker	platts
محرم		noun	mahram; close family member who cannot be married	platts
شعبان		noun	Sha'ban (the eighth month of the Islamic calendar)	arbi
شوال		noun	Shawwal (the tenth month of the Islamic calendar)	platts
شباط	شُباط	noun	February	platts
آذار		noun	March	platts
تموز	تمّوز	noun	July	platts
بلند کردن		verb	to raise	rishta:بلند
قطران		noun	tar	platts
سیخ زدن		verb	to skewer	rishta:سیخ
تمساح		noun	alligator	arbi
جرس		noun	clapper	platts
صوت		noun	sound	platts
ناس		noun	people	platts
رف		noun	shelf, ledge, rack	platts
حرب		noun	war, warfare	platts
مشروع		adj	legitimate	platts
سوق		noun	push (to do something), impelling	platts
جامع		adj	comprehensive	platts
فوق		noun	above part	platts
عامل		noun	factor	platts
دخل		noun	income	platts
صباح		adv	tomorrow	platts
فجر		noun	dawn	arbi
جنس		noun	kind, sort	platts
دوست پسر		noun	boyfriend	rishta:دوست
مردم		noun	people (group of humans)	platts
عقرب		noun	scorpion	platts
سرطان		noun	cancer, carcinoma	platts
بوق		noun	vehicle horn; klaxon	platts
انوشه		adj	immortal	platts
قاشق		noun	spoon	platts
صرع		noun	epilepsy	platts
اجازه		noun	permission	arbi
زقاق		noun	street	arbi
ابریشم		noun	silk	arbi
گچ		noun	plaster, gypsum, chalk, stucco	platts
آره		adv	yeah (yes)	platts
نخیر		adv	no	platts
مار		noun	snake	platts
ببخشید		intj	excuse me	platts
طاس		noun	cup	platts
بودا		noun	Buddha	platts
نسر		noun	vulture	platts
خوز		noun	sugarcane	platts
رطب		noun	ripened dates	arbi
انگلیسی	اِنْگْلیسی	noun	English (language)	platts
ملخ		noun	grasshopper	platts
کمرا		noun	vault	platts
طلسم		noun	spell, incantation, charm	arbi
آدینه		noun	Friday	platts
کوچک		adj	small	platts
غول		noun	ghoul	platts
ازدحام		noun	crowd, rush, throng, swarm	arbi
حفظ		noun	preservation; maintenance; conservation; upholding	arbi
آناکوندا		noun	anaconda	platts
توت		noun	mulberry (fruit)	platts
شما		pron	you guys; you (plural)	platts
بحث کردن		verb	to discuss	rishta:بحث
ساعت		noun	hour; o’clock; (by extension) time	platts
شنیدن		verb	to hear	platts
رم	رَم	noun	shying, taking off from fright	platts
برنج		noun	rice	platts
پلو		noun	pilaf (a dish made by browning grain, typically rice, in oil and then cooking it with a seasoned broth, to whi	platts
کوکو		noun	kuku, Persian-style egg dish, somewhat comparable to Italian frittata or French quiche.	platts
قرمه سبزی		noun	ghormeh sabzi, an Iranian green herb stew	rishta:سبزی
مژه		noun	eyelash	arbi
انگشت	اَنگُشت	noun	finger	platts
بینی		noun	nose	platts
چه		pron	what?	platts
مغرور		adj	proud	arbi
اسب آبی		noun	hippopotamus	platts
لاغر	لاغَر	adj	skinny; thin; slender; lithe	platts
موش		noun	mouse; rat	platts
گردو		noun	walnut	platts
صورتی		adj	pink	platts
دوغ		noun	buttermilk	platts
طناب		noun	rope	platts
همسر	هَمسَر	noun	spouse	platts
مجلس		noun	parliament	arbi
گوش		noun	ear	platts
مشکی		adj	black	platts
طلایی		adj	unhamzated form of طلائی (golden, gold-coloured, blond, blonde)	platts
طلا		noun	gold (metal)	platts
خوردن		verb	to eat	platts
اتمی		adj	atomic	platts
زیبا		adj	beautiful	arbi
دانا		adj	wise	platts
ماده تاریک		noun	dark matter	rishta:مادہ
ولایت فقیه		noun	“Guardianship of the Islamic Jurists”; a system of government wherein the Islamic clergy (ulema) have the ulti	rishta:ولایت
پول خرد		noun	change (money)	rishta:پول
حیاط		noun	courtyard	platts
زر		noun	rotation	platts
امشب		adv	tonight	arbi
بوس		noun	kiss	platts
مه		particle	prohibitive particle	platts
زنبور عسل		noun	honeybee	rishta:عسل
پایان		noun	end, conclusion	platts
واژه		noun	word, vocable	arbi
چس فیل		noun	popcorn	rishta:فیل
زخمی		adj	wounded	arbi
سنگینی		noun	heaviness	platts
صبور		adj	patient	platts
نانوائی		noun	bakery	platts
نانوا		noun	baker	platts
نیلوفر آبی		noun	water lily	rishta:نیلوفر
اهل		noun	inhabitant; native; citizen; often used as an equivalent of English "to be from"	platts
داشتن		verb	to have; to possess, to own	platts
الان		adv	unhamzated form of الآن (al'ān /al'ân, “now”)	platts
گول خوردن		verb	to be deceived, tricked	rishta:گول
بسیج		noun	preparation	platts
ببر		noun	tiger	platts
فلفل		noun	pepper (including sweet peppers, chilis as well as black pepper)	arbi
خیار		noun	cucumber	platts
کاهو		noun	lettuce (Lactuca sativa)	platts
هویج		noun	kitchen provision	platts
بامیه		noun	okra, Abelmoschus esculentus	arbi
تره		noun	garden herb in general, especially beets, spinach, cresses, leek, parsley, pot-herb	platts
لیمو		noun	lemon; lime	platts
آبلیمو		noun	lemon juice	platts
انبه		noun	mango	arbi
ریواس		noun	rhubarb	platts
خشخاش		noun	opium poppy	platts
نعناع		noun	mint	platts
عناب		noun	jujube	platts
قله		noun	peak (of a mountain)	platts
نوش جان	نوشِ جان!	intj	to your good health!, cheers! (before any drink including non-alcoholic ones)	arbi
مصرف		noun	consumption	arbi
کفش		noun	a shoe	platts
ایدز		noun	AIDS	platts
شنا		noun	swimming	platts
کرم ابریشم		noun	silkworm	rishta:کرم
کرم کتاب		noun	bookworm	rishta:کرم
اسپانیایی		adj	Spanish	platts
حجاب		noun	screen	platts
توت فرنگی		noun	strawberry	rishta:فرنگی
کاراته		noun	karate	arbi
گلف		noun	golf (the sport)	arbi
نخود		noun	chickpea	platts
ناهار		noun	lunch	platts
کتابخانه		noun	library	arbi
شیرینی		noun	sweetness	platts
سلیقه		noun	taste	arbi
روسری		noun	headscarf, hijab	platts
گز		noun	tamarisk (Tamarix spp.)	platts
ثبت		noun	registration, enrollment	platts
همان		adj	that/those very	platts
فقط		adv	only	arbi
اقتصاد		noun	economy	arbi
مالیه		noun	finance	platts
استان		noun	province	platts
کت		noun	bedstead	platts
خرما		noun	date (fruit)	platts
خرمالو	خُرْمالو	noun	persimmon	arbi
پاپایا		noun	papaya	platts
آواکادو		noun	avocado	platts
میوه اژدها		noun	pitahaya, dragon fruit	rishta:میوہ
زرشکی		adj	having the color of barberries; crimson	arbi
شلیل		noun	nectarine	platts
سانسور کردن		verb	to censor	rishta:کردن
خرمایی		adj	date- coloured	platts
ارغوان		noun	purple color; dark magenta color	platts
نیلی		adj	indigo (color)	platts
یشم		noun	jasper (precious stone)	platts
یشمی		adj	jade (colour), jade-coloured	platts
پرستو		noun	swallow (bird)	platts
اردک		noun	duck (bird)	platts
غاز		noun	goose (bird)	platts
وکیل		noun	lawyer, attorney	platts
طاووس		noun	peacock	platts
بوف		noun	owl	platts
جغد		noun	owl	platts
دیر		adj	late; tardy	platts
سینه زنی		noun	ritual chest-beating	rishta:سینہ
نقره		noun	silver (metal)	arbi
مچ		noun	joint (Any part of the body where two bones join)	platts
کره		noun	butter	platts
گویش		noun	dialect; accent	platts
عنکبوت		noun	spider	platts
مگس		noun	fly (insect)	arbi
تساوی		noun	equality	platts
کسب		noun	trade, business, profession	platts
عروسک		noun	doll	platts
عرق کردن		verb	to sweat; to perspire	rishta:عرق
کشتن		verb	to kill, to murder	platts
برف آمدن		verb	to snow	rishta:برف
آرامش		noun	quietness; calmness; tranquility; peace, peace and quiet	platts
آب میوه		noun	fruit juice	arbi
آبجو		noun	beer	platts
پنج		num	five	platts
شش		noun	lung	platts
مربوط	مَربوط	adj	relevant, pertinent	arbi
ویسکی		noun	whisky	platts
کردی		adj	Kurdish	platts
والله		adv	truthfully, honestly	platts
کوشک		noun	pavilion	platts
سیگار		noun	cigarette	platts
خباز		noun	baker	arbi
زنی		noun	womanhood	platts
سلطانه		noun	sultana (female ruler)	arbi
الاغ		noun	donkey, ass	platts
سنجاب		noun	squirrel	arbi
حلزون		noun	snail	arbi
آرامی		noun	calm, calmness, tranquility	platts
عصب		noun	nerve	platts
عصبانی		adj	angry	arbi
اسکی کردن		verb	to ski	rishta:اسکی
جاسوسی		noun	espionage	platts
زمین خوردن		verb	to fall	rishta:زمین
زندگی کردن		verb	to live	rishta:زندگی
افقی	اُفُقی	adj	horizontal	platts
ترجمه کردن		verb	to translate	rishta:ترجمہ
بازی کردن		verb	to play	rishta:بازی
طب سوزنی		noun	acupuncture	rishta:طب
منفی		adj	negative; bad	arbi
مشت		noun	fist	platts
هدهد		noun	hoopoe	arbi
تاجیک		noun	Tajik, Persian	arbi
ذرت		noun	maize, corn	arbi
ارزان		adj	cheap, inexpensive	platts
ایشان		noun	ishan	platts
شیعه		adj	Shi'a, Shi'ite	platts
ساک		noun	sak, ash-e sak, khoreshe sak; a Persian spinach soup	platts
اسرائیلی		adj	Israeli	platts
فلسطینی		adj	Palestinian	arbi
نوشابه		noun	soft drink	arbi
نوشیدن		verb	to drink	platts
الکلی		adj	alcoholic	platts
کوآلا		noun	koala	platts
آهن		noun	iron (metal)	platts
اینجا		adv	here	platts
استخوانی		adj	bony	arbi
ماچ		noun	kiss	platts
ماچ کردن		verb	to kiss	rishta:کردن
کچل		adj	bald	platts
قاره		noun	continent	platts
آژیر		adj	alert, alarm	platts
صندل		noun	sandalwood	platts
شنی		adj	sandy	platts
شن	شِن	noun	sand	platts
اشتباه کردن		verb	to make a mistake	rishta:اشتباہ
بستنی	بَسْتَنی	noun	ice cream	platts
النگو		noun	bangle, bracelet without clasp	platts
ارائه		noun	presentation	platts
کودک		noun	child	platts
شرور		adj	wicked	platts
کمک		noun	help, aid, assistance	platts
کمک کردن		verb	to help	rishta:کردن
ضربان		noun	pulse	arbi
ریختن		verb	to pour; to spill; to sprinkle	platts
رابط		noun	connector	platts
سوزن		noun	needle	platts
خوشه		noun	bunch	arbi
حوله		noun	towel	arbi
اهریمن		noun	devil	platts
اهریمنی		adj	Ahrimanic	platts
دمیدن		verb	to breathe (into), to blow	platts
آوردن		verb	to bring	platts
رستن		verb	to escape	platts
یافتن		verb	to acquire, find	arbi
دیدن		verb	to see, to look	platts
نمودن	نَمودَن	verb	to show, to cause to appear, to exhibit	platts
خراب کردن		verb	to ruin	rishta:خراب
آبستن		adj	pregnant	platts
آبستنی		noun	pregnancy	platts
خیس کردن		verb	to wet	rishta:کردن
روش		noun	method; manner; way; procedure	platts
ماست		noun	yoghurt	platts
شکری		adj	sugary	platts
سری	سَری	noun	leadership	platts
بیست		num	twenty	platts
شهاب		noun	meteor	platts
لبی		adj	labial	platts
ترش		adj	sour, tart (tasting acidic)	platts
لوله		noun	tube	platts
جالب		adj	interesting	platts
زمینی		adj	earthy	platts
برگ		noun	leaf	platts
ریشو		adj	bearded	platts
فکاهی		adj	humorous	arbi
فک		noun	jaw	platts
نماد		noun	symbol	platts
کار کردن		verb	to work	rishta:کار
رز		noun	vine	platts
سفره		noun	tablecloth	arbi
قفل		noun	lock, padlock	platts
گوز		noun	walnut	platts
خورش		noun	stew; khoresh	platts
لانه		noun	home for animals:	arbi
آزمون		noun	test	platts
خواب دیدن		verb	to dream	rishta:خواب
اشک ریختن		verb	to cry, to weep	rishta:اشک
آبتنی		noun	bathing	platts
آبتنی کردن		verb	to bathe	rishta:کردن
شیرین کردن		verb	to sweeten	rishta:کردن
کتبی		noun	bookseller	platts
هنوز		adv	still, yet	platts
خواستن		verb	to want, to intend (both of nouns and verbs)	platts
میخ		noun	nail	platts
گرگ		noun	a wolf	platts
رهبر ارکستر		noun	conductor (of an orchestra)	rishta:رہبر
آفریدن		verb	to create	platts
پوشیدن		verb	to put on (clothes), to wear	platts
جستن		verb	to jump, leap	platts
شنا کردن		verb	to swim	rishta:کردن
اختری		adj	stellar	platts
تقوا		noun	virtue	platts
ویروس		noun	virus	platts
ویروسی		adj	viral (relating to a virus)	platts
ویتامین		noun	vitamin	platts
گم کردن		verb	to lose, especially through obliviousness	rishta:گم
تجربی		adj	experimental	arbi
مینا		noun	glaze	platts
مثل		noun	resemblance, similarity	platts
نازی		adj	coy, demure	platts
مرجان		noun	coral	arbi
شاخه		noun	branch (of a tree)	platts
بر		prep	on	platts
احساس کردن	اِحساس کَردَن	verb	to feel	rishta:احساس
پاییز		noun	autumn	platts
پاییزی		adj	autumnal	platts
فال		noun	omen	platts
واحه		noun	oasis	platts
کامل کردن		verb	to complete	rishta:کامل
کاشی		noun	tile	platts
خرده		noun	bit	arbi
ثبات		noun	firmness, fixedness, fixity, stability, stableness	platts
انتخاب کردن		verb	to choose	rishta:انتخاب
ارمنی		adj	Armenian	platts
فلافل		noun	falafel	arbi
قند		noun	sugar cube	platts
صوفی		adj	Sufi	platts
صوفیه		noun	Sufism	arbi
بیسکویت		noun	biscuit	platts
ژرف		adj	deep	platts
نصف		noun	half	platts
ییلاق		noun	countryside area where people go to escape the summer heat	platts
ظرفی		adj	adverbial	platts
گرسنگی		noun	hunger	platts
وقاحت		noun	flagrancy	platts
شصت		num	sixty	platts
نود		num	ninety	platts
دویست		num	two hundred	platts
میلیون		num	million	platts
تیم		noun	caravanserai (especially a large and grand one)	platts
سیدی		noun	CD	platts
صندلی		noun	chair	platts
رنگی		adj	colorful	platts
عمیق		adj	deep (literal, figurative)	platts
چشیدن		verb	to taste	platts
ازدواج کردن		verb	to marry	rishta:ازدواج
عصبی		adj	neural	platts
گنج		noun	treasure	platts
قرن		noun	century	platts
لات		noun	lout, hooligan	platts
ماندنی		adj	remaining	platts
لاتی		noun	roguishness	platts
تفریق		noun	subtraction	arbi
حاد		adj	sharp	platts
خیاطی		noun	dressmaking	platts
جودو		noun	judo	platts
رژه		noun	line, queue	arbi
سلاخی		noun	slaughter	platts
کلان		adj	big, huge, massive	platts
نامیدن		verb	to name	platts
حاشیه		noun	border, rim, edge	arbi
مصدر		noun	infinitive (a grammatical mood)	platts
گوگردی		adj	sulfuric, sulphuric	platts
توریستی		adj	touristy	platts
جغرافی		noun	geography	arbi
درام		noun	dram (Armenian currency)	platts
دف		noun	daf (a Persian frame drum)	platts
شیاف		noun	suppository	platts
نیش		noun	sting, bite	platts
فیزیکی		adj	physical:	arbi
نهنگ		noun	crocodile or hippopotamus	platts
تراس		noun	terrace	platts
بدرود		intj	goodbye; farewell	platts
ملت		noun	nation, people	platts
تحول		noun	change, (new) development	platts
قلبی		adj	cardiac	platts
مستقیم		adj	straight	arbi
زان		noun	beech	platts
