lafz	aeraab	qism	maani_en
صرب		noun	Serb
رشد		noun	growth
سلم		noun	Acacia ehrenbergiana
اثنان		num	two
ذهب		noun	synonym of طلا (talā /talâ, “gold”)
زوج	زُوج	noun	couple, pair
باغ وحش	باغِ وَحْش	noun	zoo
ایتالیایی		adj	Italian
زیست‌شناسی		noun	biology
مرحبا		intj	bravo, good job
اجاق		noun	stove
زمین‌شناسی		noun	geology
شاذ		adj	glad
کتاب لغت		noun	dictionary, glossary
باب		adj	appropriate
بان		noun	prince, lord, governor, chief
چامه‌سرایی		noun	poetry
ال		noun	plough; the beam of a plough
رأس		classifier	classifier for counting animals: head
نار		noun	pomegranate
کس کردن		verb	to fuck (literally, ‘to do pussy’)
کس دادن		verb	To fuck (with a female as subject and a male as indirect object. Literally, to give pussy.)
زیتونی		adj	olivaceous
اسلحه گرم	اَسْلَحِهٔ گَرْم	noun	firearm
فندق		noun	hazelnut
زیاد		adj	much; a lot
چندین	چَندین	adj	much; a lot
کون کردن		verb	to ass-fuck, to sodomize, to bum, to cornhole
ویکی		noun	wiki
چتر		noun	umbrella, parasol
گائیدن		verb	to fuck, to screw, to hump
کیر		noun	penis, cock, prick
خایه		noun	testicle, balls
جلق زدن		verb	to masturbate, to fap, to jack off
شق کردن		verb	to split
چوچوله		noun	clitoris
دادن		verb	to give
مادر جنده		noun	motherfucker
جاکش		noun	cuckold, pimp
کس‌کش		noun	pimp, cuckold, whore.
جنده		noun	a prostitute
کاپوت		noun	condom
چطور		adv	how
کون دادن		verb	to (consensually) let somebody fuck you (with a female or male as subject and a male as indirect object; literally, to g
آمدن		verb	to come, to arrive
رفتن		verb	to go
این		det	this; the
شهوتی		adj	lusty
ادرار		noun	urine, piss
شاش		noun	urine
آب کیر		noun	semen, cum
گنجینه		noun	treasure
گردنبند		noun	necklace
ظهر		noun	noon, midday
منخر		noun	nostril
جنده‌خانه		noun	whorehouse
بکن‌بکن		noun	sex spree
ریشه‌شناسی		noun	etymology
آب منی		noun	semen, cum
کلیسا		noun	church
کس لیسیدن		verb	to eat pussy, to lick pussy
کیر مکیدن		verb	to suck dick, to give a blowjob
ویکی‌پدیا		noun	Wikipedia
منت		noun	favor, grace; action that causes the receiver to be thankful
فاحشه		noun	prostitute, whore
نهار		noun	daytime
مجاهد		noun	fighter, warrior; especially a mujahid
سوراخ کس		noun	vagina
روبه جلو		adj	ad hoc
سوراخ		noun	hole, cavity, bore, orifice, slot
طالب		noun	seeker
ویکی‌واژه		noun	Wiktionary
محرم		noun	mahram; close family member who cannot be married
رجب		noun	Rajab (the seventh month of the Islamic calendar)
شعبان		noun	Sha'ban (the eighth month of the Islamic calendar)
شوال		noun	Shawwal (the tenth month of the Islamic calendar)
شباط	شُباط	noun	February
آذار		noun	March
تموز	تمّوز	noun	July
بلند کردن		verb	to raise
قطران		noun	tar
استمنا		noun	unhamzated form of استمناء (“male masturbation”)
سیخ زدن		verb	to skewer
لاستیک		noun	rubber
تمساح		noun	alligator
فضاپیما		noun	spacecraft
جرس		noun	clapper
صوت		noun	sound
ناس		noun	people
ترگمان		noun	translator
رف		noun	shelf, ledge, rack
حرب		noun	war, warfare
مشروع		adj	legitimate
سوق		noun	push (to do something), impelling
جامع		adj	comprehensive
فوق		noun	above part
عامل		noun	factor
دخل		noun	income
صباح		adv	tomorrow
فجر		noun	dawn
ریال		noun	rial (the official currency of Iran)
وب نوشت		noun	website
جنس		noun	kind, sort
دوست پسر		noun	boyfriend
مردم		noun	people (group of humans)
حسابدار		noun	accountant
عقرب		noun	scorpion
سرطان		noun	cancer, carcinoma
