lafz	aeraab	qism	maani_en
ال		noun	plough; the beam of a plough
چندین	چَندین	adj	much; a lot
این		det	this; the
گنجینه		noun	treasure
گردنبند		noun	necklace
روبه جلو		adj	ad hoc
رجب		noun	Rajab (the seventh month of the Islamic calendar)
فضاپیما		noun	spacecraft
ترگمان		noun	translator
وب نوشت		noun	website
حسابدار		noun	accountant
عصر بخیر		intj	good afternoon
قاصدک		noun	dandelion
شنبه		noun	Saturday
تابستان		noun	summer
گوش دادن		verb	to listen
سنگسار		noun	stoning, lapidation
فروختن		verb	to sell
مادربزرگ		noun	grandmother
آش		noun	aush (thick Persian-style soup)
پدربزرگ		noun	grandfather
مو		noun	hair
عمو		noun	paternal uncle
گهگاه		adv	sometimes
گلدان		noun	flowerpot
سیم کارت		noun	SIM card
زشت		adj	ugly
فهمیدن		verb	to understand (hear correctly and know the language)
زورمند	زورمَند	adj	strong; powerful
ژاپنی	ژاپُنی	adj	Japanese
لهستانی		noun	Polish
سرباز		noun	soldier
خواننده		noun	singer, vocalist
فرهنگی		adj	cultural
خربزه		noun	melon
دانشجو		noun	Higher education student, a university student
ول		adj	free
قارچ		noun	mushroom
گوجه		noun	plum
هندوانه		noun	watermelon
پرتقال		noun	orange
بنفش		adj	violet, violet-coloured
سوسک		noun	cockroach; ellipsis of سوسک حمام (susk-e hammâm)
دست شما درد نکنه		intj	thank you
دوچرخه		noun	bicycle
بامزه		adj	cute
عابر بانک		noun	ATM, cash machine
زشتی		noun	ugliness
کونگ فو		noun	kung fu
دستمال		noun	handkerchief
را		particle	Used to mark certain noun phrases as the direct object. Since it is obligatory for all definite direct objects
کارگر		noun	worker, labourer, workman
گسترده		adj	widespread
نارگیل		noun	coconut
ازگیل		noun	medlar
کشاورز		noun	farmer
هنرمند		noun	artist
سیاستمدار		noun	politician
چکاوک		noun	skylark, lark
قو		noun	swan
دستکش		noun	glove
نامزد		noun	candidate
پختن		verb	to cook
آتشکده		noun	fire temple (a Zoroastrian place of worship, where fire is kindled)
اسپانیولی		adj	Spanish (language)
هواپیما		noun	aeroplane
داروخانه		noun	pharmacy (a place where prescription drugs are dispensed)
رانندگی		noun	driving
رانندگی کردن		verb	to drive
اسکنر		noun	scanner
چاپگر		noun	printer (computing)
عاج		noun	ivory
زگیل		noun	wart
گوشواره		noun	earring
زیست		noun	life
دلتنگ		adj	sad
پوسته		noun	membrane
جانورشناسی		noun	zoology
جانورشناس		noun	zoologist
پدیده		noun	phenomenon
جا		noun	place
باغچه		noun	small garden, front garden/front yard
پادزهر		noun	antidote
پادزهری		adj	antidotal
پشمی		adj	woollen
پشمالو		adj	fuzzy, furry, hairy, woolly, shaggy
مهتابی		adj	moonlit
دارکوب		noun	woodpecker
هنرپیشه		noun	actor/actress
کودکستان		noun	nursery school
ریا		noun	hypocrisy, dissimulation
مردمک		noun	little man
رساندن		verb	to deliver
فرمودن		verb	to order, to command
خیساندن		verb	to wet
بمب اتمی		noun	atomic bomb
بخشیدن		verb	to donate, give, grant, bestow, allocate, apportion
شستن	شُستَن	verb	to wash
فرودگاه		noun	airport, airdrome, aerodrome
رگبار		noun	shower (Of intense rain)
گرسنه		adj	hungry
گوزیدن		verb	to fart
خوابیدن		verb	to sleep; to fall asleep
خواب رفتن		verb	to sleep
افکندن		verb	to throw
گریستن		verb	to cry, to weep
چی		pron	what?
انگاشتن		verb	to suppose, to imagine
ساختن		verb	to make
ساختمان		noun	building
چیزی		pron	something
پرونده		noun	case
مارچوبه		noun	asparagus
تابستانی		adj	summery
زمستانی		adj	wintry
سازمان		noun	organisation
سازمانی		adj	organisational
کتابچه		noun	booklet
گشنیز		noun	coriander, cilantro
عبا		noun	cloak
لشکری		adj	military
لنگیدن		verb	to limp
پله		noun	a stair, step
یکی		pron	one (The first mentioned of two things or people, as opposed to the other.)
چهل		num	forty
هفتاد		num	seventy
هشتاد		num	eighty
پارکینگ		noun	car park (UK), parking lot (North America)
ویزا		noun	visa
فرستادن		verb	to send
فرستاده		noun	messenger
زندانی		noun	prisoner
زندانبان		noun	jailer, gaoler
بادامک		noun	tonsil
لوزه		noun	tonsil
